ID,CHILDS,PHYSS,AnyPhys,SELFDET,ALCFREQ,BP
144,1.8,1,0,4.53333,3,1.55172
145,1.8,1,0,.46667,2,1.75862
146,1.8,1.16667,1,2.86667,3,1.41379
147,1.8,1.16667,1,-.4,3,2.75862
148,2,1,0,2.8,3,1.31034
149,2.4,1,0,5.6,1,1.82759
150, , ,1, ,2, 
151,1.8,1,0,3.66667,3,2.96552
152,2.2,1,0,1.86667,1,2.27586
153,4.8,1.66667,1,4.93333,3,2.86207
154,1.6,1,0,6.6,2,3.75862
155,2.6,1,0,-.6,3,2
156,1.2,1,0,5.53333,3,2.2069
157,1.4,1,0,3.2,3,2.34483
158,1.8,1,0,3.73333,3,3
159,1.2,1,0,2.53333,3,1.86207
160,1.6,1,0,5,3,1.75862
161,3.6,1,0,-2.73333,2,1.62069
162,2.2,1,0,6,3,2.41379
163,1.8,1,0,1.4,3,2.24138
164,1.4,1,0,4.66667,1,1.27586
165,2.2,1.16667,1,5.93333,3,2.7931
166,3.4,1,0,5,3,2.31034
167,1.4,1,0,5.26667,3,2.13793
168,2.4,1,0,6,2,2.10345
169,1.4,1,0,4.73333,3,1.55172
170,2.2,1,0,3.46667,3,2.51724
171,1.6,1,0,5.6,3,3.10345
172,1.6,1,0,2.73333,2,2.93103
173,2.4,1.16667,1,3.26667,4,1.68966
174,1.2,1,0,2.66667,2,1.75862
175,2,1.16667,1,.06667,3,2.68966
176,2.2,1,0,5.66667,3,1.96552
177,2.2,1.16667,1,-1.46667,4,2.58621
178,2.2,1,0,2.53333,3,2.27586
179,1.2,1,0,7,1,1.44828
180,2.6,1.16667,1,4.93333,3,1.82759
181,2.6,1.66667,1,6.8,3,2.72414
182,1.8,1,0,-5.73333,3,1.7931
183,2.2,1.16667,1,2.53333,3,2.03448
184,3,2,1,3.53333,1,2.37931
185,2,1,0,4.46667,3,1.51724
186,2.4,1,0,5.93333,1,2.34483
187,2.25,4.66667,1,-.4,4,2.96552
188,2.8,1.33333,1,3.8,3,2.31034
189,2,1.33333,1,6.46667,2,1.89655
190,2,1,0,5.66667,2,2.17241
191,1.8,1,0,4,1,1.75862
192,3,1,0,3,1,1.72414
193,1.2,1,0,3.86667,2,1.34483
194,1.8,1,0,3.8,3,1.68966
195,1.6,1,0,3.26667,3,2.55172
196,2.4,2.33333,1,3.46667,3,3.75862
197,2.2,1,0,2.26667,2,1.58621
198,3.2,1.16667,1,4.86667,3,2.10345
199,1.6,1,0,3.6,2,2.17241
200,2.2,1,0,5.33333,3,2.10345
201,2,1.16667,1,3.33333,4,2.93103
202,1,1,0,6.6,3,1.82759
203,3,2.83333,1,-.66667,4,3.17241
204,4.8,3.33333,1,3.93333,4,3.7931
205,2.4,1,0,3.66667,3,2.2069
206,2.6,1,0,4.66667,3,1.72414
207,1.8,1,0,2.66667,2,1.75862
208,1.4,1,0,3.46667,2,1.2069
209,2,1,0,4.66667,1,2.44828
210,3,1.5,1,.93333,2,2.72414
211,1.8,1,0,.86667,3,2.55172
212,1.4,1,0,2.86667,1,1.89655
213,2.6,1,0,3.4,3,1.75862
214,2.4,1,0,2.2,1,1.37931
215,1.2,1,0,3.2,2,1.58621
216,1.8,1.16667,1,1.06667,2,2.31034
217,2.2,1.33333,1,5.73333,2,2.10345
218,2.4,1,0,4.53333,3,2.41379
219,3,1.33333,1,4.4,1,2.89655
220,2.8,1.16667,1,2.53333,3,3.27586
221,2.4,1,0,2.8,2,2.17241
222,2.6,3.33333,1,-.06667,2,2.27586
223,1.6,1,0,3,3,1.37931
224,4,1.33333,1,4.73333,3,1.96552
225,1.6,1,0,-.4,4,2.2069
226,1.8,1,0,3.93333,3,2.58621
227,1.6,1,0,2.13333,2,2
228,1.6,1,0,.53333,3,2.89655
229,1.8,1.2,1,2.46667,3,2.10345
230, , ,1, ,3, 
231,1.6,1,0,1,2,2.32143
232,2,1,0,4,3,3
233,2.6,1.16667,1,6.26667,2,2.65517
234,1.8,1,0,1.13333,2,1.89655
235,2.2,1,0,4.86667,3,1.89655
236,1.6,1,0,4.66667,2,2.27586
237,2,1,0,5.6,2,1.34483
238,3,1,0,4.6,1,2.17241
239,2.2,1.16667,1,.46667,3,2.17241
240,2.6,1.16667,1,6.06667,1,2.24138
241,1.4,1,0,4,4,1.96552
242,1.6,1,0,1.6,2,2.7931
243,1.6,1,0,-.86667,3,2.72414
244,1.6,1,0,2.4,2,2.75862
245,3,1.16667,1,5.26667,3,2.10345
246,1.8,1,0,4.66667,1,2
247,2.4,1,0,-1,2,1.31034
248,1.4,1,0,3.93333,2,1.55172
249,2.4,1.16667,1,2.53333,3,2.65517
250,3,2.16667,1,2.13333,4,2.34483
251,2.8,1.16667,1,5,3,2.24138
252,2.2,1,0,5.4,2,2.55172
253,2.2,1,0,5.86667,2,2.31034
254,1.6,1,0,5.66667,3,3.2069
255,1.2,1,0,1.8,2,2.82759
256,2,1,0,2.4,1,2.44828
257,1,1,0,5.33333,3,2.27586
258,2,1,0,1.53333,2,2.86207
259,3.2,1,0,0,2,2.82759
260,2,1,0,4.26667,2,2.34483
261,2.6,1,0,5.06667,3,2.31034
262,1.8,1,0,3.06667,2,1.34483
263,1.8,1,0,2.13333,1,1.96552
264,1.4,1.33333,1,4.8,3,2.13793
265,3.6,1,0,5,1,1.75862
266,1.6,1,0,3.93333,3,2.51724
267,2,1,0,4.2,2,2.17241
268,1.8,1.16667,1,3,3,2.10345
269,2.2,1.16667,1,5,2,2.34483
270,1.2,1,0,4.6,3,2.2069
271,1.8,1.83333,1,4.6,2,2.34483
272,2,1,0,5.86667,2,2.06897
273,2,1,0,2.06667,3,1.48276
274,1.2,1.16667,1,3.93333,3,1.89655
275,2,1.16667,1,-.06667,2,2.27586
276,1.4,1.16667,1,4.93333,5,1.7931
277,2,1,0,2.33333,1,3.31034
278,1.2,1,0,3.13333,3,1.37931
279,2.8,1,0,4.2,3,2.65517
280,1.2,1,0,5.33333,3,1.82759
281,1.4,1,0,.46667,3,2.86207
282,3,1,0,2.33333,3,3.13793
283,1.6,1.16667,1,2.33333,3,2.48276
284,2.4,1.33333,1,2.26667,3,2.93103
285,1.6,1,0,3.2,2,1.44828
286,1.4,1,0,7.33333,2,1.93103
287,2,1,0,3.26667,2,1.89655
288,1.4,1,0,4.4,1,1.48276
289,1.6,1,0,4.4,4,2.7931
290,2.2,1,0,-.4,1,2.7931
291,1,1,0,3.46667,1,2.58621
292,3.2,1.16667,1,2.86667,2,2.93103
293,1.2,1,0,3.66667,3,2.10345
294,1.8,1,0,3.6,2,2.37931
295,2.2,1,0,3.06667,2,1.58621
296,2.8,1.5,1,.53333,3,3.34483
297,2.6,1.16667,1,4.73333,2,2.62069
298,2.6,3.8,1,2.46667,3,3.17241
299,1.8,1.16667,1,3.8,1,3
300,2.2,1,0,-.8,3,3.51724
301,2.6,1,0,4.86667,2,1.41379
302,2,1,0,3.86667,2,2.06897
303,1.6,1,0,3.13333,2,1.48276
304,1.4,1,0,3.33333,1,2.27586
305,2.2,1,0,3.46667,3,1.86207
306,1.8,1,0,1.93333,2,1.89655
307,2.4,1,0,.53333,3,2.72414
308,2.2,1,0,4.4,2,2.24138
309,3.2,1,0,1.2,3,2.31034
310,4.4,2.16667,1,4.33333,3,3.75862
311,1.6,1,0,3.06667,3,1.89655
312,1,1,0,3.73333,2,2.75862
313,1.4,1,0,4.46667,3,1.89655
314,4,4,1,-.53333,4,1.62069
315,2.6,1.33333,1,3.33333,1,1.96552
316,2.6,1.16667,1,4.26667,2,2.10345
317,3.4,1.66667,1,3.8,2,2.13793
318, , ,1, ,2, 
319,2.2,1,0,.06667,1,3
320,1.6,1.16667,1,4.4,4,3.51724
321,2.5,1.16667,1,3.66667,3,3.41379
322,1.4,1,0,5.26667,3,1.62069
323,2,1.5,1,2,2,2.68966
324,2,1,0,4.2,1,1.75862
325,2.4,1,0,-.46667,3,3.31034
326,1.2,1.16667,1,-.2,3,2.82759
327,2.4,1,0,2.53333,3,2.41379
328,2,1,0,3.86667,2,2.86207
329,2.6,1,0,3.53333,3,2.82759
330,3.2,1,0,5.2,2,2.7931
331,1.2,1,0,5.13333,3,2.86207
332,2.2,1,0,4.13333,2,1.75862
333,1.4,1,0,4.46667,2,1.55172
334,1.6,1,0,3.33333,3,1.93103
335,1.6,1,0,5.4,3,1.96552
336,1.8,1,0,2.13333,3,2.48276
337,2,1,0,4.13333,2,1.93103
338, , ,1, ,3, 
339,2.8,1.33333,1,4.6,4,3.03448
340,2.6,1.16667,1,3,3,2.89655
341,3,1,0,4.66667,2,2.58621
342,2.8,1.83333,1,2.2,3,3.27586
343,2.2,1,0,4.4,2,1.58621
344,3,1.66667,1,2.33333,3,3.31034
345,1,1.16667,1,5.5,3,2.17241
346,1.4,1,0,3.93333,1,1.7931
347,4,1.16667,1,-3.86667,2,2.24138
348,2.2,1,0,-1.06667,2,3
349,2.8,1.33333,1,7,1,1.93103
350,3.2,1,0,1.46667,3,2.93103
351,3.2,2,1,2.46667,2,3.37931
352,2.2,1.16667,1,4.53333,1,2.31034
353,2.2,1,0,.4,3,2.41379
354,2.4,1.33333,1,3.06667,1,1.58621
355,3,1.16667,1,6.53333,2,3
356,2,1,0,4.46667,3,2.62069
357,2,1,0,1.06667,2,2.93103
358,2,1,0,2.66667,1,3.37931
359,1,1,0,5.2,1,2.2069
360,1.4,1,0,5.53333,3,2
361,2.6,1,0,3.6,3,1.93103
362,1.6,1,0,4,2,2.27586
363,1.4,1,0,1.53333,3,2.17241
364,2,1,0,-.86667,3,2.51724
365,1.2,1,0,4.6,3,2.37931
366,2.66667,1,0,3.73333,2,2.03448
367,3,1,0,3.66667,2,2.51724
368,2.2,1,0,6.06667,2,1.86207
369,1.8,1,0,3.2,2,3.13793
370,1.2,1,0,1.93333,3,2.51724
371,2.2,1.66667,1,2.8,2,2.89655
372,2,1,0,.93333,2,2.55172
373,2.6,1,0,4.33333,3,2
374,2.8,2,1,-.33333,3,2
375,3,1.66667,1,-.93333,4,3.37931
376,1.8,1.16667,1,.93333,3,3.58621
377,1.8,1,0,5.6,4,1.89655
378,1.6,1,0,2.13333,2,2.26923
379,1.6,1.16667,1,4.33333,2,2.62069
380,1.2,1,0,2.26667,1,2.17241
381,2,1,0,5.13333,1,2.62069
382,1.4,1,0,5.13333,3,2.27586
383,1.8,1.16667,1,4.26667,4,3.34483
384,1.8,1,0,3.4,1,2.41379
385,1.6,1,0,4.93333,3,3.2069
386,1.4,1,0,5.06667,3,2.58621
387,1.2,1,0,4.26667,3,1.93103
388,1.4,1,0,.8,4,2.68966
389,2.4,1,0,1.46667,3,2.2069
390,2,1,0,3.13333,3,2.68966
391,2,1,0,4.66667,2,2.65517
392,3.2,1,0,6.13333,4,3.10345
393,1.2,1,0,5.53333,3,2.65517
394,1.6,1.66667,1,1.93333,3,1.89655
395,3,1,0,3.06667,4,2.37931
396,1,1,0,4.13333,2,2.13793
397,1.2,1,0,-.8,2,2.48276
398,3,1.16667,1,.8,3,3.10345
399,1.2,1,0,1.53333,3,2.31034
400,1.4,1,0,5.86667,1,1.72414
401,1.6,1,0,4.6,3,2.37931
402,2.4,1,0,2.8,1,2.31034
403,2.8,1.16667,1,.26667,3,2.10345
404,2.8,1.33333,1,3,3,3.2069
405,2.2,1.33333,1,2.93333,1,2.24138
406,1.6,1.16667,1,1.33333,3,2.48276
407,1.8,1,0,3.66667,3,2.58621
408,1.2,1,0,.06667,2,2.24138
409,2.4,1.83333,1,3.33333,4,3.06897
410,1.6,1.83333,1,1.86667,3,1.72414
411,2.6,2.5,1,2.33333,5,2.78571
412,2.2,1.16667,1,.53333,4,3.62069
413,4,1.33333,1,2.73333,3,3.03448
414,1,1,0,3.46667,3,1.65517
415,2.2,1,0,5.46667,2,1.65517
416,2.4,1.16667,1,1.66667,4,2.58621
