	HandMov	NumRec	WordOrd	Gestalt	Triangles	SpatialMem	MatrixAn	PhotoSer
HandMov	11.56	3.1824	3.451	1.9278	2.9376	5.712	3.7128	3.978
NumRec	3.1824	5.76	4.6632	0.7128	1.7496	2.9232	2.1504	2.088
WordOrd	3.451	4.6632	8.41	1.2528	2.2707	3.4104	2.436	3.219
Gestalt	1.9278	0.7128	1.2528	7.29	2.7702	3.402	2.3436	3.402
Triangles	2.9376	1.7496	2.2707	2.7702	7.29	5.3298	3.1752	4.698
SpatialMem	5.712	2.9232	3.4104	3.402	5.3298	17.64	4.8216	6.426
MatrixAn	3.7128	2.1504	2.436	2.3436	3.1752	4.8216	7.84	3.528
PhotoSer	3.978	2.088	3.219	3.402	4.698	6.426	3.528	9
